n,switching_ratio,rounds
10,0,4
10,0,7
10,0,4
10,0,4
10,0,6
10,0,5
10,0,3
10,0,5
10,0,4
10,0,8
10,0,5
10,0,5
10,0,10
10,0,6
10,0,5
10,0,4
10,0,5
10,0,5
10,0,4
10,0,7
10,0,5
10,0,3
10,0,5
10,0,4
10,0,7
10,0,5
10,0,4
10,0,3
10,0,7
10,0,5
10,0,7
10,0,5
10,0,5
10,0,4
10,0,5
10,0,4
10,0,4
10,0,4
10,0,3
10,0,4
10,0,4
10,0,9
10,0,6
10,0,7
10,0,4
10,0,6
10,0,4
10,0,7
10,0,7
10,0,6
10,0,4
10,0,4
10,0,4
10,0,5
10,0,6
10,0,5
10,0,3
10,0,4
10,0,6
10,0,5
10,0,6
10,0,4
10,0,3
10,0,6
10,0,5
10,0,5
10,0,5
10,0,6
10,0,5
10,0,4
10,0,4
10,0,4
10,0,5
10,0,4
10,0,4
10,0,4
10,0,7
10,0,8
10,0,5
10,0,5
10,0,5
10,0,5
10,0,4
10,0,5
10,0,4
10,0,2
10,0,4
10,0,4
10,0,6
10,0,5
10,0,7
10,0,6
10,0,5
10,0,4
10,0,7
10,0,4
10,0,5
10,0,4
10,0,5
10,0,5
10,0,6
10,0,5
10,0,6
10,0,5
10,0,5
10,0,5
10,0,5
10,0,5
10,0,6
10,0,5
10,0,5
10,0,4
10,0,3
10,0,4
10,0,5
10,0,4
10,0,5
10,0,5
10,0,4
10,0,6
10,0,5
10,0,5
10,0,5
10,0,3
10,0,5
10,0,4
10,0,5
10,0,4
10,0,4
10,0,4
10,0,5
10,0,4
10,0,4
10,0,5
10,0,3
10,0,6
10,0,5
10,0,3
10,0,6
10,0,5
10,0,6
10,0,4
10,0,4
10,0,7
10,0,6
10,0,3
10,0,3
10,0,4
10,0,6
10,0,5
10,0,3
10,0,3
10,0,5
10,0,4
10,0,6
10,0,8
10,0,4
10,0,4
10,0,4
10,0,9
10,0,4
10,0,5
10,0,4
10,0,4
10,0,4
10,0,6
10,0,6
10,0,7
10,0,6
10,0,4
10,0,7
10,0,4
10,0,4
10,0,5
10,0,4
10,0,4
10,0,5
10,0,4
10,0,8
10,0,5
10,0,5
10,0,6
10,0,3
10,0,6
10,0,5
10,0,4
10,0,5
10,0,5
10,0,6
10,0,5
10,0,8
10,0,7
10,0,4
10,0,4
10,0,6
10,0,6
10,0,6
10,0,5
10,0,5
